iter	TotalF1	MultiClass
0	0.9895155511	0.9765178424
1	0.9912579478	0.8777291944
2	0.9862950362	0.7953636903
3	0.9934998315	0.7241719404
4	0.9900196037	0.6625902867
5	0.9937487758	0.6063567511
6	0.9938739569	0.5586902673
7	0.993873498	0.5148468016
8	0.9953745347	0.4734394085
9	0.9963734717	0.4384777162
10	0.9964983275	0.4081518906
11	0.9963731807	0.3791613631
12	0.9963731807	0.3532433101
13	0.9964980435	0.3288530421
14	0.9966231904	0.3061349015
15	0.9966234668	0.2858222738
16	0.9969988405	0.2673827977
17	0.9968732001	0.2493060638
18	0.9966242931	0.2333824997
19	0.9964986109	0.2182783944
20	0.9973734579	0.2040495771
21	0.9981241327	0.1916266434
22	0.9978730122	0.1797212823
23	0.9979988882	0.1693895433
24	0.9978746803	0.1589630107
25	0.9982500062	0.1496893811
26	0.9981244562	0.1406970982
27	0.998499964	0.1328867565
28	0.9981244562	0.1254590551
29	0.9981238081	0.1186973352
30	0.9986246443	0.1120920075
31	0.9983749183	0.1058801998
32	0.998499964	0.100099894
33	0.998499964	0.09468333254
34	0.998499964	0.08974719724
35	0.998499964	0.08505824725
36	0.998499964	0.08057956021
37	0.9988746382	0.07629412518
38	0.9988746382	0.07229466231
39	0.9988746382	0.06876379808
40	0.9988746382	0.06550068641
41	0.998749585	0.06218520408
42	0.998749585	0.05906017468
43	0.998749585	0.05644875753
44	0.998749585	0.05403938051
45	0.9988746382	0.05161811991
46	0.998749585	0.04932174576
47	0.998749585	0.04711222352
48	0.9983743816	0.04505123283
49	0.998749585	0.04333046187
50	0.998749585	0.04155007999
51	0.998749585	0.03985400068
52	0.998749585	0.0382869454
53	0.998749585	0.03718178237
54	0.998749585	0.03620314172
55	0.9988746382	0.0347886275
56	0.9988746382	0.0336938865
57	0.9989999154	0.03273902098
58	0.9989999154	0.03204896513
59	0.9989999154	0.03122543503
60	0.9988746382	0.03080799191
61	0.9988746382	0.03041724583
62	0.9988746382	0.02979471135
63	0.9988746382	0.02870920873
64	0.9988746382	0.02831190929
65	0.9988746382	0.02746085219
66	0.9988746382	0.02655463875
67	0.9989999154	0.02622992181
68	0.9988746382	0.02537330391
69	0.9989999154	0.02471011772
70	0.9989999154	0.02429092561
71	0.9989999154	0.02387581601
72	0.9989999154	0.02310537772
73	0.9989999154	0.02266897466
74	0.9989999154	0.02218019
75	0.9989999154	0.02174109028
76	0.9989999154	0.02158511726
77	0.9989999154	0.02140833075
78	0.9989999154	0.02129189061
79	0.9988746382	0.02116404649
80	0.9988746382	0.02090894677
81	0.9988746382	0.02084388785
82	0.9988746382	0.02028018173
83	0.9988746382	0.01991576156
84	0.9988746382	0.01983291684
85	0.9988746382	0.01978542129
86	0.9988746382	0.01974316971
87	0.9988746382	0.01970478666
88	0.9988746382	0.0193452528
89	0.9988746382	0.01931383456
90	0.9988746382	0.0192081114
91	0.9988746382	0.01898827739
92	0.9988746382	0.01896252819
93	0.9988746382	0.01886721683
94	0.9988746382	0.01860733006
95	0.9988746382	0.01849851134
96	0.9988746382	0.01845226265
97	0.9988746382	0.018433126
98	0.9988746382	0.01787538937
99	0.9988746382	0.01764285663
100	0.9988746382	0.01746492141
101	0.9988746382	0.01745298862
102	0.9988746382	0.01743667488
103	0.9988746382	0.01718600764
104	0.9988746382	0.01710941126
105	0.9988746382	0.0170757612
106	0.9988746382	0.01704209626
107	0.9988746382	0.0170352215
